timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732356045315,395,EnterDetails,200,OK,Thread Group 1-4,text,true,,2311,1062,10,10,https://blazedemo.com/confirmation.php,393,0,0
1732356045711,0,Debug Sampler,200,OK,Thread Group 1-4,text,true,,589,0,10,10,null,0,0,0
1732356045315,409,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2499,1062,10,10,null,0,2,0
1732356045316,409,EnterDetails,200,OK,Thread Group 1-3,text,true,,2499,1062,10,10,https://blazedemo.com/confirmation.php,409,0,0
1732356045726,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,587,0,10,10,null,0,0,0
1732356045314,467,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2254,1062,10,10,null,0,0,0
1732356045314,467,EnterDetails,200,OK,Thread Group 1-2,text,true,,2254,1062,10,10,https://blazedemo.com/confirmation.php,464,0,0
1732356045782,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,587,0,10,10,null,0,0,0
1732356044399,426,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2342,689,10,10,null,0,5021,0
1732356049419,426,Homepage,200,OK,Thread Group 1-6,text,true,,2342,689,10,10,https://blazedemo.com/,423,0,0
1732356044424,427,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2362,689,10,10,null,0,5002,0
1732356049425,427,Homepage,200,OK,Thread Group 1-5,text,true,,2362,689,10,10,https://blazedemo.com/,425,0,0
1732356044437,425,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2323,689,10,10,null,0,5046,0
1732356049483,425,Homepage,200,OK,Thread Group 1-10,text,true,,2323,689,10,10,https://blazedemo.com/,422,0,0
1732356044487,404,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2411,689,10,10,null,0,5058,0
1732356049544,404,Homepage,200,OK,Thread Group 1-9,text,true,,2411,689,10,10,https://blazedemo.com/,395,0,0
1732356044507,432,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2313,689,10,10,null,0,5069,0
1732356049575,432,Homepage,200,OK,Thread Group 1-7,text,true,,2313,689,10,10,https://blazedemo.com/,421,0,0
1732356044535,400,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2398,689,10,10,null,0,5074,0
1732356049608,400,Homepage,200,OK,Thread Group 1-1,text,true,,2398,689,10,10,https://blazedemo.com/,387,0,0
1732356044552,406,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2330,689,10,10,null,0,5101,0
1732356049652,406,Homepage,200,OK,Thread Group 1-8,text,true,,2330,689,10,10,https://blazedemo.com/,404,0,0
1732356049853,416,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2456,872,10,10,null,0,2,0
1732356049855,416,SearchFlights,200,OK,Thread Group 1-5,text,true,,2456,872,10,10,https://blazedemo.com/reserve.php,415,0,0
1732356049846,420,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2343,875,10,10,null,0,6,0
1732356049851,420,SearchFlights,200,OK,Thread Group 1-6,text,true,,2343,875,10,10,https://blazedemo.com/reserve.php,419,0,0
1732356049909,416,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2459,873,10,10,null,0,0,0
1732356049909,416,SearchFlights,200,OK,Thread Group 1-10,text,true,,2459,873,10,10,https://blazedemo.com/reserve.php,404,0,0
1732356049949,400,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2364,875,10,10,null,0,1,0
